"id","Category_Name","Icon","Created_at","Updated_at"
1,"Chicken Products","chicken.png","2021-03-25 19:43:18","2022-06-19 03:35:22"
2,"Fish","fish.png","2021-03-25 19:43:43","2021-03-25 19:47:50"
3,"Vegetables","vegetables.png","2021-03-25 19:43:58","2021-03-25 19:48:02"
4,"Meat","meat.png","2021-03-25 19:44:03","2021-03-25 19:48:11"
5,"Packaging",NULL,"2022-02-25 14:12:14",NULL
6,"Fruits",NULL,"2022-03-04 04:00:25",NULL
7,"Cooked Food",NULL,"2022-03-06 05:52:42",NULL
8,"Flour",NULL,"2022-06-29 12:55:47",NULL
9,"Spices",NULL,"2022-08-15 01:07:51",NULL
